Албания,41.1944,19.4904
Андорра,42.5076,1.5224
Армения,40.1743,44.5042
Австрия,48.2109,16.3563
Беларусь,53.8962,27.5503
Бельгия,50.8466,4.3522
Босния,43.8516,18.3789
Болгария,42.6889,23.3188
Хорватия,45.8011,15.9785
Чехия,50.0870,14.4176
Дания,55.6751,12.5691
Эстония,59.4328,24.7439
Финляндия,60.1679,24.9528
Франция,48.8571,2.3529
Грузия,41.7179,44.8005
Германия,52.5177,13.4098
Греция,37.9818,23.7274
Венгрия,47.4954,19.0564
Италия,41.8892,12.4935
Косово,42.6664,21.1650
Латвия,56.9475,24.1060
Лихтенштейн,47.1407,9.5217
Литва,54.6782,25.2874
Люксембург,49.6100,6.1305
Молдова,47.0158,28.8453
Монако,43.7404,7.4256
Черногория,42.4391,19.2627
Нидерланды,52.3673,4.8998
Норвегия,59.9115,10.7333
Польша,52.2431,21.0018
Португалия,41.1494,-8.6103
Македония,41.9950,21.4280
Румыния,44.4346,26.0921
Россия,55.7615,37.6094
Сан Марино,43.9363,12.4456
Сербия,44.8114,20.4644
Словакия,48.1440,17.1097
Словения,46.0499,14.5068
Испания,40.4195,-3.6927
Швеция,59.3279,18.0546
Швейцария,47.3694,8.5418
Украина,50.4461,30.5215
Гибралтар,36.1387,-5.3474
Ватикан,41.9021,12.4563
Турция,41.0118,28.9754
Великобритания,51.5033,-0.0794
Ирландия,53.3441,-6.2673
Исландия,64.1476,-21.9386
Гренландия,64.1838,-51.7078
Мальта,35.9489,14.4138
